Name,Price,Location,City,State,Country,Type,Foundation,Misc,Bedrooms,Lofts,Bathrooms,Size,Length,Width,Days on site,Number of views,Times dreamlisted,Link
Awesome 24FT Tiny House on Wheels (Custom/Rustic),8800,"Fisher, West Virginia, United States",Fisher,West Virginia,United States,Tiny House,Mobile,Used,1,0,1,192.0,24.0,8.0,0,0,,https://tinyhouselistings.com/listings/awesome-24ft-tiny-house-on-wheels-custom-rustic
Beautiful 28' Farmhouse Tiny Home,85900,"Durango, Colorado, United States",Durango,Colorado,United States,Tiny House,Mobile,Delivery Available,2,2,1,305.0,28.0,8.5,0,0,,https://tinyhouselistings.com/listings/beautiful-28-farmhouse-tiny-home
Tiny House With Master Bedroom + 2 Lofts,60000,"Boise, Idaho, United States",Boise,Idaho,United States,Tiny House,Mobile,Delivery Available,1,2,1,240.0,24.0,8.0,1,0,11.0,https://tinyhouselistings.com/listings/tiny-house-with-master-bedroom-2-lofts
Extremely Affordable 20' New Tiny House,35000,"Boise, Idaho, United States",Boise,Idaho,United States,Tiny House,Mobile,Delivery Available,1,1,1,160.0,20.0,8.0,1,0,9.0,https://tinyhouselistings.com/listings/extremely-affordable-20-new-tiny-house
Skoolie - 31.75 ft Thomas HDX Rear Engine,45000,"Antonito, Colorado, United States",Antonito,Colorado,United States,Converted Bus,Mobile,Delivery Available,1,0,1,210.0,31.75,8.0,1,0,10.0,https://tinyhouselistings.com/listings/skoolie-31-75-ft-thomas-hdx-rear-engine
A Fresh Adventure,50000,"Spring City, Tennessee, United States",Spring City,Tennessee,United States,Tiny House,Mobile,Delivery Available,1,1,1,160.0,20.0,8.0,1,0,8.0,https://tinyhouselistings.com/listings/a-fresh-adventure-tiny_house
TheKastleOnWheels,75000,"Gilroy, California, United States",Gilroy,California,United States,Converted Bus,Mobile,Delivery Available,1,0,1,325.0,40.0,8.0,1,0,6.0,https://tinyhouselistings.com/listings/thekastleonwheels
Comfortable Cozy 24' Tiny House (Entirely Off Grid),70000,"San Diego, California, United States",San Diego,California,United States,Tiny House,Mobile,Delivery Available,1,2,2,204.0,24.0,8.6,2,0,5.0,https://tinyhouselistings.com/listings/comfortable-cozy-24-tiny-house-entirely-off-grid
8'x16' Mid Century Modern Tiny House on Wheels.,39000,"Stone Mountain, Georgia, United States",Stone Mountain,Georgia,United States,Tiny House,Mobile,New,0,1,1,128.0,16.0,8.0,2,0,12.0,https://tinyhouselistings.com/listings/8-x16-mid-century-modern-tiny-house-on-wheels
SPACE for 30' Tiny Home $600 NATURE ALL AROUND!,600,"Portland, Oregon, United States",Portland,Oregon,United States,Parking,Mobile,Square Feet,0,0,0,0.0,,,1,0,1.0,https://tinyhouselistings.com/listings/space-for-30-tiny-home-600-nature-all-around
Custom built 8’ x 20’ tiny home on wheels,35000,"Charleston , South Carolina, United States",Charleston ,South Carolina,United States,Tiny House,Mobile,Used,1,1,1,160.0,20.0,8.0,2,0,18.0,https://tinyhouselistings.com/listings/custom-built-8-x-20-tiny-home-on-wheels
Permanent Tiny House On Foundation. Tiny Simplicity.,55000,"Trinidad, California, United States",Trinidad,California,United States,Tiny House,Stationary,New,1,1,1,160.0,16.0,10.0,2,0,10.0,https://tinyhouselistings.com/listings/permanent-tiny-house-on-foundation-simplicity
8x24 Tiny House Ready For The Simple Life,55000,"Linden, Tennessee, United States",Linden,Tennessee,United States,Tiny House,Mobile,Delivery Available,2,1,1,192.0,24.0,8.0,2,0,12.0,https://tinyhouselistings.com/listings/8x24-tiny-house-ready-for-the-simple-life
Wildbound 5' x 8' Tiny Cabin,9199,"Pennsburg , Pennsylvania, United States",Pennsburg ,Pennsylvania,United States,Tiny House,Mobile,Square Feet,1,0,0,40.0,8.0,5.0,3,0,28.0,https://tinyhouselistings.com/listings/wildbound-5-x-8-tiny-cabin
8x24 Custom Tiny House,80000,"Clarkdale, Arizona, United States",Clarkdale,Arizona,United States,Tiny House,Mobile,Delivery Available,0,1,1,192.0,24.0,8.0,3,0,1.0,https://tinyhouselistings.com/listings/8x24-custom-tiny-house
"Tiny Condo - Affordable, Unique Layout",28900,"Kennessaw , Georgia, United States",Kennessaw ,Georgia,United States,Tiny House,Stationary,New,2,0,2,399.0,40.0,12.0,4,0,20.0,https://tinyhouselistings.com/listings/tiny-condo-affordable-unique-layout-tiny_house
Beautiful vintage school bus conversion,25000,"Durham, North Carolina, United States",Durham,North Carolina,United States,Converted Bus,Mobile,Used,1,0,0,192.0,30.0,8.0,4,0,21.0,https://tinyhouselistings.com/listings/beautiful-vintage-school-bus-conversion
Modern Tiny Living Espresso,40000,"New Paris , Ohio, United States",New Paris ,Ohio,United States,Tiny House,Mobile,Used,1,1,1,130.0,20.0,8.0,3,0,36.0,https://tinyhouselistings.com/listings/modern-tiny-living
12x30 Cabin Shell,10381,"Jayton, Texas, United States",Jayton,Texas,United States,Tiny House,Stationary,Square Feet,0,0,0,360.0,30.0,12.0,5,0,4.0,https://tinyhouselistings.com/listings/12x30-cabin-shell
Tiny House on a 16×8 trailer,25000,"Bellingham, Washington, United States",Bellingham,Washington,United States,Tiny House,Mobile,New,1,0,1,128.0,16.0,8.0,5,0,30.0,https://tinyhouselistings.com/listings/tiny-house-on-a-16x8-trailer
Custom Gooseneck Tiny House,82000,"San Antonio, Texas, United States",San Antonio,Texas,United States,Tiny House,Mobile,Delivery Available,1,0,1,272.0,32.0,8.5,5,0,46.0,https://tinyhouselistings.com/listings/custom-gooseneck-tiny-house-tiny_house
Custom 20' PNW Tiny House,63250,"Twisp, Washington, United States",Twisp,Washington,United States,Tiny House,Mobile,Delivery Available,1,1,1,160.0,20.0,8.0,5,0,15.0,https://tinyhouselistings.com/listings/custom-20-pnw-tiny-house-tiny_house
35’ Gooseneck Tiny Home Frame,40000,"Placerville, California, United States",Placerville,California,United States,Tiny House,Mobile,Delivery Available,1,1,1,272.0,35.0,8.0,5,0,5.0,https://tinyhouselistings.com/listings/35-gooseneck-tiny-home-frame
Modern Farmhouse THOW,89000,"Senoia, Georgia, United States",Senoia,Georgia,United States,Tiny House,Mobile,Used,2,1,1,300.0,34.0,8.5,5,0,86.0,https://tinyhouselistings.com/listings/modern-farmhouse-thow
Lil Bear Tiny Homes The LakeShore 24',60000,"Goodar, Michigan, United States",Goodar,Michigan,United States,Tiny House,Mobile,Delivery Available,2,2,1,200.0,24.0,8.5,4,0,12.0,https://tinyhouselistings.com/listings/lil-bear-tiny-homes-the-lakeshore-24
Wonderful 18' Tiny Mountain House for sale!!,50000,"Ennis, Montana, United States",Ennis,Montana,United States,Tiny House,Mobile,Square Feet,1,1,1,216.0,18.0,8.6,7,0,42.0,https://tinyhouselistings.com/listings/wonderful-18-tiny-mountain-house-for-sale
Luxurious Tiny House With Attention To All Details,90000,"Hortonville, Wisconsin, United States",Hortonville,Wisconsin,United States,Tiny House,Mobile,Delivery Available,2,2,1,300.0,28.0,8.5,8,0,68.0,https://tinyhouselistings.com/listings/luxurious-tiny-with-attention-to-details
24' Modern Tiny House With Loft,65000,"Las Vegas, Nevada, United States",Las Vegas,Nevada,United States,Tiny House,Mobile,Delivery Available,1,1,1,206.0,24.0,8.5,8,0,52.0,https://tinyhouselistings.com/listings/24-modern-tiny-house-with-loft-tiny_house
Tiny Tulip 16' Tiny Home,32500,"Mobile, Alabama, United States",Mobile,Alabama,United States,Tiny House,Mobile,New,1,1,1,128.0,16.0,8.0,8,0,109.0,https://tinyhouselistings.com/listings/tiny-tulip-16-tiny-home
Fully Remodeled Tiny House on Wheels,20000,"Miami, Florida, United States",Miami,Florida,United States,Tiny House,Mobile,Used,1,0,1,90.0,7.5,12.0,9,0,78.0,https://tinyhouselistings.com/listings/fully-remodeled-tiny-house-on-wheels
Away We Go- 16' Modern Tiny House,32000,"Crystal River, Florida, United States",Crystal River,Florida,United States,Tiny House,Mobile,New,1,1,1,136.0,16.0,8.5,9,0,52.0,https://tinyhouselistings.com/listings/away-we-go-16-modern-tiny-house
Denver Unit,79900,"Las Vegas , Nevada, United States",Las Vegas ,Nevada,United States,Container Home,Stationary,New,1,0,1,240.0,30.0,8.0,9,0,30.0,https://tinyhouselistings.com/listings/denver-unit
12x32 Premier Lofted Barn Cabin (Mahogany & White trim and roof),25000,"Pine River, Wisconsin, United States",Pine River,Wisconsin,United States,Cabin,Stationary,New,1,2,0,384.0,32.0,12.0,10,0,36.0,https://tinyhouselistings.com/listings/12x32-premier-lofted-barn-cabin-mahogany-white-trim-and-roof
1 bed/1 bath Tiny House - 164 total sf by StouderHouse,54974,"Salado, Texas, United States",Salado,Texas,United States,Tiny House,Mobile,New,1,1,1,128.0,16.0,8.0,10,0,19.0,https://tinyhouselistings.com/listings/1-bed-1-bath-tiny-house-164-total-sf-by-stouderhouse
Rustic Colorado,64000,"Guffey, Colorado, United States",Guffey,Colorado,United States,Tiny House,Mobile,Used,1,1,1,365.0,38.0,12.0,9,0,48.0,https://tinyhouselistings.com/listings/rustic-colorado
Brand new 25' Park Model,30500,"Salem, Oregon, United States",Salem,Oregon,United States,Tiny House,Mobile,New,1,0,1,187.0,25.0,7.5,10,0,19.0,https://tinyhouselistings.com/listings/brand-new-25-park-model
Castle Tree House,58500,"Las Vegas , Nevada, United States",Las Vegas ,Nevada,United States,Container Home,Stationary,New,0,0,1,160.0,20.0,8.0,10,0,19.0,https://tinyhouselistings.com/listings/castle-tree-house
Gray's Unit,58900,"Las Vegas, Nevada, United States",Las Vegas,Nevada,United States,Container Home,Mobile,Delivery Available,1,0,1,160.0,20.0,8.0,10,0,43.0,https://tinyhouselistings.com/listings/gray-s-unit
Tiny Dream,59900,"Atlanta , Georgia, United States",Atlanta ,Georgia,United States,Tiny House,Mobile,New,2,2,1,288.0,24.0,13.5,11,0,119.0,https://tinyhouselistings.com/listings/tiny-dream
Two-story CABIN (HUNTING LOUNGE)_German style_Post & Beam,10000,"Woodruff, South Carolina, United States",Woodruff,South Carolina,United States,Cabin,Mobile,Used,1,1,0,400.0,20.0,10.0,11,0,21.0,https://tinyhouselistings.com/listings/two-story-cabin-hunting-lounge-_german-style_post-beam
Learning Pod / Study Pod - Can be easily converted into a Tiny Home,15000,"Lakewood, Colorado, United States",Lakewood,Colorado,United States,Tiny House,Stationary,New,0,0,0,96.0,12.0,8.0,11,0,14.0,https://tinyhouselistings.com/listings/learning-pod-study-pod-can-be-easily-converted-into-a-tiny-home
[Renovated] Keystone Cougar 5th Wheel Toy Hauler,46000,"Warner Robins, Georgia, United States",Warner Robins,Georgia,United States,RV,Mobile,Used,1,1,1,350.0,37.5,,12,0,121.0,https://tinyhouselistings.com/listings/renovated-keystone-cougar-5th-wheel-toy-hauler
24 Foot Tiny House on Wheels,60000,"GAINESVILLE, Florida, United States",GAINESVILLE,Florida,United States,Tiny House,Mobile,Square Feet,1,1,1,190.0,24.0,8.5,13,0,32.0,https://tinyhouselistings.com/listings/24-foot-tiny-house-on-wheels-tiny_house-purchase
Rustic and Charming 26' Tiny House,62500,"Indian Hills, Colorado, United States",Indian Hills,Colorado,United States,Tiny House,Mobile,Used,1,2,1,208.0,26.0,8.0,12,0,11.0,https://tinyhouselistings.com/listings/rustic
Self-Built Eco-Conscious Tiny Home on Wheels,33250,"Bloomington, Indiana, United States",Bloomington,Indiana,United States,Tiny House,Mobile,Used,1,1,1,180.0,24.0,8.5,14,0,46.0,https://tinyhouselistings.com/listings/self-built-eco-conscious-tiny-home-on-wheels-tiny_house-mobile
On/Off Grid Mobile Bathroom,14900,"Parker , Colorado, United States",Parker ,Colorado,United States,Other,Mobile,Delivery Available,0,0,1,30.0,7.5,4.5,14,0,11.0,https://tinyhouselistings.com/listings/on-off-grid-mobile-bathroom-other
Custom tiny in San Diego,85000,"San diego, California, United States",San diego,California,United States,Tiny House,Mobile,New,0,1,1,160.0,18.0,8.0,14,0,17.0,https://tinyhouselistings.com/listings/custom-tiny-in-san-diego
1999 Goshen Freightliner,37500,"Warrington, Pennsylvania, United States",Warrington,Pennsylvania,United States,Converted Bus,Mobile,Square Feet,1,0,1,180.0,30.0,8.0,14,0,56.0,https://tinyhouselistings.com/listings/1999-goshen-freightliner
Perfect Tiny Home with free lot rent for 1 year!,65000,"Eufaula, Alabama, United States",Eufaula,Alabama,United States,Tiny House,Mobile,Comes With Land,0,1,1,192.0,24.0,8.0,15,0,61.0,https://tinyhouselistings.com/listings/perfect-tiny-home-with-free-lot-rent-for-1-year
Adorable Cottage,40000,"Sanford, Florida, United States",Sanford,Florida,United States,Tiny House,Mobile,Used,0,1,1,200.0,20.0,8.0,16,0,44.0,https://tinyhouselistings.com/listings/adorable-cottage
"Adorable 18' Tiny House With Loft, Hand Built",33000,"Greer, South Carolina, United States",Greer,South Carolina,United States,Tiny House,Mobile,Delivery Available,1,1,1,144.0,18.0,8.0,16,0,66.0,https://tinyhouselistings.com/listings/adorable-18-tiny-house-with-loft-hand-built
All Aluminium Solar 2020 Everlite 7X16 Cargo Trailer Tiny Home,21000,"Fairview, Utah, United States",Fairview,Utah,United States,Camper,Mobile,New,1,0,1,120.0,7.0,16.0,17,0,15.0,https://tinyhouselistings.com/listings/all-aluminium-solar-2020-everlite-7x16-cargo-trailer-tiny-home
Take A Trainride - High End Custom Built Tiny House For Sale,110000,"Mound House, Nevada, United States",Mound House,Nevada,United States,Tiny House,Mobile,Used,1,0,1,242.0,28.5,8.5,16,0,26.0,https://tinyhouselistings.com/listings/take-a-trainride-high-end-custom-built-tiny-house-for-sale
1959 Spartan Imperial Mansion,250000,"Jackson, Wyoming, United States",Jackson,Wyoming,United States,RV,Mobile,Used,1,0,1,320.0,40.0,8.0,17,0,25.0,https://tinyhouselistings.com/listings/1959-spartan-imperial-mansion
George - B-hotel is the new CAMPER!,64000,"Las Vegas , Nevada, United States",Las Vegas ,Nevada,United States,Camper,Mobile,Used,1,0,1,110.0,23.0,9.0,17,0,75.0,https://tinyhouselistings.com/listings/george-b-hotel-is-the-new-camper
Yurt Life... Live the Dream in this 30' 706sf Complete Roundhouse!,14500,"Libertytown, Maryland, United States",Libertytown,Maryland,United States,Other,Stationary,Used,1,0,1,706.0,,,18,0,31.0,https://tinyhouselistings.com/listings/yurt-life-live-the-dream-in-this-30-706sf-roundhouse
The little traveler: Jet 1966 travel trailer,6800,"Madrid, New Mexico, United States",Madrid,New Mexico,United States,RV,Mobile,Square Feet,0,0,0,91.0,13.0,7.0,18,0,43.0,https://tinyhouselistings.com/listings/the-little-traveler-jet-1966-travel-trailer
Majestic Tiny Home Ready For Your Enjoyment,25000,"Moneta, Virginia, United States",Moneta,Virginia,United States,Other,Stationary,Used,1,1,1,240.0,20.0,12.0,6,0,29.0,https://tinyhouselistings.com/listings/majestic-tiny-home-ready-for-your-enjoyment
Duramax Insulated Building. Cabin/Office/SHE Shed,4310,"Los Angeles, California, United States",Los Angeles,California,United States,Tiny House Shell,Stationary,New,0,0,0,160.0,16.0,10.0,19,0,10.0,https://tinyhouselistings.com/listings/duramax-insulated-building-cabin-office-she-shed
Vintage Shasta with land on lake community,35000,"Westminster , South Carolina, United States",Westminster ,South Carolina,United States,Other,Stationary,Comes With Land,0,0,1,160.0,18.0,8.0,19,0,15.0,https://tinyhouselistings.com/listings/vintage-shasta-with-land-on-lake-community
Off-Grid Escape One with 2 bedrooms,80000,"Evergreen, Colorado, United States",Evergreen,Colorado,United States,RV,Mobile,Dual Lofts,2,2,1,280.0,,,19,0,65.0,https://tinyhouselistings.com/listings/off-grid-escape-with-2-bedrooms
SoCal Tiny Home on Wheels,70000,"Oxnard, California, United States",Oxnard,California,United States,Tiny House,Mobile,Used,2,2,1,288.0,36.0,8.0,19,0,15.0,https://tinyhouselistings.com/listings/socal-tiny-home-on-wheels
Custom Camper / Tiny House,39900,"San Diego, California, United States",San Diego,California,United States,Camper,Mobile,Used,1,0,1,286.0,35.0,8.5,19,0,89.0,https://tinyhouselistings.com/listings/custom-camper-tiny-house
"Fully insulated mobile studio, shed or office",12000,"Redmond, Washington, United States",Redmond,Washington,United States,Tiny House,Stationary,New,1,0,0,112.0,14.0,8.0,18,0,21.0,https://tinyhouselistings.com/listings/fully-insulated-mobile-studio-shed-or-office
CLC Teardrop,13500,"Bend, Oregon, United States",Bend,Oregon,United States,Camper,Mobile,Used,0,0,0,75.0,12.5,6.0,20,0,21.0,https://tinyhouselistings.com/listings/clc-teardrop
"2 bedroom, 31' tiny house on wheels for sale",100000,"Portland, Oregon, United States",Portland,Oregon,United States,Tiny House,Mobile,Used,2,1,1,300.0,31.0,8.5,19,0,130.0,https://tinyhouselistings.com/listings/2-bedroom-31-tiny-house-for-sale
"32' Land Yacht, 1945 Monk Tri-Cabin",2500,"olympia, Washington, United States",olympia,Washington,United States,Boat,Stationary,Used,2,0,0,140.0,32.0,10.0,20,0,7.0,https://tinyhouselistings.com/listings/32-land-yacht-1945-monk-tri-cabin
Angela,15000,"Culpeper , Virginia, United States",Culpeper ,Virginia,United States,Tiny House,Stationary,New,1,0,1,336.0,24.0,14.0,21,0,14.0,https://tinyhouselistings.com/listings/angela
Tiny Boutique,35900,"Chehalis, Washington, United States",Chehalis,Washington,United States,Other,Mobile,New,0,0,0,192.0,24.0,8.5,21,0,36.0,https://tinyhouselistings.com/listings/tiny-boutique-other
30' Tiny House By LifESCAPE Builders Inc.,75000,"Temecula, California, United States",Temecula,California,United States,Tiny House,Mobile,Delivery Available,1,1,1,340.0,30.0,8.5,21,0,157.0,https://tinyhouselistings.com/listings/30-tiny-house-by-lifescape-builders-inc
Twisted Branch 24' Tiny House,69500,"DURANGO, Colorado, United States",DURANGO,Colorado,United States,Tiny House,Mobile,Comes With Land,2,2,1,204.0,24.0,8.5,9,0,41.0,https://tinyhouselistings.com/listings/tiny_house-65b70e1f-963a-4d41-a5e1-0378993063be
Colorado Comfort 22' Tiny House,49500,"Denver, Colorado, United States",Denver,Colorado,United States,Tiny House,Mobile,Used,1,1,1,187.0,22.0,8.5,21,0,62.0,https://tinyhouselistings.com/listings/colorado-comfort-22-tiny-house-tiny_house
Michigan tiny house 18ft,30000,"Whitmore lake , Michigan, United States",Whitmore lake ,Michigan,United States,Tiny House,Mobile,Used,0,2,1,130.0,18.0,8.0,21,0,26.0,https://tinyhouselistings.com/listings/michigan-tiny-house-18ft
